sim_time,n,p,ratio,method,type,num,estimate
3,100,100,145,lasso,null,40,0
3,100,100,145,lasso,wbc,12,0
3,100,100,145,lasso,null,14,0
3,100,100,145,lasso,null,57,0
3,100,100,145,lasso,null,11,0
3,100,100,145,lasso,null,20,0
3,100,100,145,lasso,null,51,0
3,100,100,145,lasso,null,8,0
3,100,100,145,lasso,wai,14,0
3,100,100,145,lasso,null,2,0
3,100,100,145,lasso,null,43,0
3,100,100,145,lasso,wai,12,0
3,100,100,145,lasso,wbc,9,0
3,100,100,145,lasso,wai,3,0
3,100,100,145,lasso,null,3,0
3,100,100,145,lasso,wbc,16,0
3,100,100,145,lasso,null,53,0
3,100,100,145,lasso,null,39,0
3,100,100,145,lasso,null,6,0
3,100,100,145,lasso,wbc,2,0
3,100,100,145,lasso,null,47,0
3,100,100,145,lasso,null,1,0
3,100,100,145,lasso,null,35,0
3,100,100,145,lasso,null,29,0
3,100,100,145,lasso,wai,8,0
3,100,100,145,lasso,null,18,0
3,100,100,145,lasso,null,12,0
3,100,100,145,lasso,wai,11,0
3,100,100,145,lasso,null,49,0
3,100,100,145,lasso,wai,4,0
3,100,100,145,lasso,null,28,0
3,100,100,145,lasso,null,16,0
3,100,100,145,lasso,null,19,0
4,100,100,145,forward,strong,2,28.049499583340207
4,100,100,145,forward,strong,4,21.643146329784965
4,100,100,145,forward,strong,1,14.852699004624098
4,100,100,145,forward,strong,3,16.708633139104187
4,100,100,145,forward,null,21,-2.0840393586255326
4,100,100,145,forward,null,43,3.4487646378846124
4,100,100,145,forward,null,2,1.8849151384759046
4,100,100,145,forward,null,11,1.8364595792542058
4,100,100,145,forward,null,41,-2.9720804006699653
4,100,100,145,forward,null,18,-4.4088637926998855
4,100,100,145,forward,null,3,-3.2934933621121334
4,100,100,145,forward,null,59,1.976280009569042
4,100,100,145,forward,null,1,0.9089930506408098
4,100,100,145,forward,null,49,-3.9829085846794423
4,100,100,145,forward,null,51,5.873542496232324
4,100,100,145,forward,null,6,-0.17390894177565627
4,100,100,145,forward,wbc,13,12.441864246090816
4,100,100,145,forward,wai,14,-2.8378722145955138
4,100,100,145,forward,null,48,5.1593305865148835
4,100,100,145,forward,wai,13,-6.023010545950202
4,100,100,145,forward,null,25,0.03058168192028752
4,100,100,145,forward,wbc,5,-3.0957951285287892
4,100,100,145,forward,null,27,3.9167491204750124
4,100,100,145,forward,null,35,9.60180539486625
4,100,100,145,forward,null,42,3.275681497593412
4,100,100,145,forward,wbc,15,5.038236191005786
4,100,100,145,forward,null,15,2.6830905247274
4,100,100,145,forward,null,44,0.31113989777795387
4,100,100,145,forward,wai,19,8.193891701630056
4,100,100,145,forward,null,17,0.6079573094834623
4,100,100,145,forward,null,33,-0.4731585387066272
4,100,100,145,forward,null,8,2.6712703507235385
4,100,100,145,forward,wbc,9,7.8353747863444925
4,100,100,145,forward,null,12,4.159839429573882
4,100,100,145,forward,wbc,8,0.41068088677320436
4,100,100,145,forward,null,29,-0.8922243861143252
4,100,100,145,forward,null,9,3.1543274607664786
4,100,100,145,forward,wai,20,-0.6346906876206733
4,100,100,145,forward,wbc,16,-4.516467197290547
4,100,100,145,forward,null,7,-0.12479739951591734
4,100,100,145,forward,wbc,7,-0.16326239370645476
4,100,100,145,forward,null,26,7.672959389562882
4,100,100,145,forward,wai,6,2.9403383791521622
4,100,100,145,forward,null,4,-1.2352024102272459
